,isbn_10,title,full_title,publishers,identifiers,subtitle,description,covers,physical_format,last_modified,latest_revision,key,authors,ocaid,publish_places,contributions,languages,pagination,classifications,source_records,notes,number_of_pages,isbn_13,created,edition_name,publish_date,copyright_date,oclc_numbers,works,type,revision,ia_box_id,publish_country,by_statement,series,first_sentence,dewey_decimal_class,lc_classifications,local_id,other_titles,subject_people,subject_places,subject_times,subjects,genres,lccn,table_of_contents,contributors,weight,physical_dimensions,subject_place,uri_descriptions,url,uris,ia_loaded_id,translated_from,work_titles,translation_of,subject_time,oclc_number,work_title,coverimage,location,links,openlibrary,language
10,,A Darkness More Than Night,,['Vision'],{},,,[8363105],,"{'type': '/type/datetime', 'value': '2020-03-19T05:04:23.458919'}",9,/books/OL24324910M,,darknessmorethan2002conn,,,,,{},"['ia:darknessmorethan2002conn', 'ia:darknessmorethan00conn_0', 'ia:darknessmorethan0000conn']",,,['9780446667906'],"{'type': '/type/datetime', 'value': '2010-07-01T19:56:14.274371'}",,"March 1, 2002",,,[{'key': '/works/OL111733W'}],{'key': '/type/edition'},9,['IA108809'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,['0670896764'],A day late and a dollar short,,['Viking'],"{'librarything': ['45353'], 'goodreads': ['955202']}",,,[6484975],,"{'type': '/type/datetime', 'value': '2010-09-02T02:26:49.606583'}",8,/books/OL23244975M,[{'key': '/authors/OL531996A'}],daylateanddollar01mcmi,['New York'],,[{'key': '/languages/eng'}],431 p.,,"['marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:25680647:3054', 'marc:marc_ithaca_college/ic_marc.mrc:178070342:760', 'ia:daylateanddollar01mcmi']",,431.0,,"{'type': '/type/datetime', 'value': '2009-05-29T11:07:49.944689'}",,2001,,,[{'key': '/works/OL3263747W'}],{'key': '/type/edition'},8,,nyu,Terry McMillan.,,,,,,,,,,['African American women -- Fiction'],['Fiction'],['00046232'],,,,,,,,,,,,,,,,,,,,
12,['140003065X'],A Fine Balance,,['Vintage International'],"{'alibris_id': ['9781400030651'], 'google': ['7a7YobMkPVkC'], 'paperback_swap': ['140003065X'], 'amazon': ['140003065X'], 'librarything': ['4031'], 'goodreads': ['43613135']}",,"{'type': '/type/text', 'value': 'With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers - a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village - will be thrust together, forced to share one cramped apartment and an uncertain future. \r\n\r\nAs the characters move from distrust to friendship and from friendship to love, A Fine Balance creates an enduring panorama of the human spirit in an inhuman state.\r\n\r\n~from the back cover'}",[8348361],Paperback,"{'type': '/type/datetime', 'value': '2019-01-19T09:19:40.543115'}",10,/books/OL8362636M,[{'key': '/authors/OL456240A'}],finebalanceoprah00rohi,"['New York, USA']",,[{'key': '/languages/eng'}],603p.,{},,,603.0,['9781400030651'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,2001,1995,['824653526'],[{'key': '/works/OL2980902W'}],{'key': '/type/edition'},10,,,,"[""Oprah's Book Club (44)""]","{'type': '/type/text', 'value': 'THE MORNING EXPRESS bloated with passengers slowed to a crawl, then lurched forward suddenly, as though to resume full speed.'}",['C8J3/.54'],['PR9199.3.M57F5 1995'],,,,,,"['Fiction', 'Fiction - General', 'Literary', 'Fiction / Literary', 'Reading Group Guide']",,['95-49317'],,,1.1 pounds,7.9 x 4.8 x 1.2 inches,,,,,,,,,,,,,,,,
13,['0553278029'],A Great Deliverance,A Great Deliverance,['Bantam'],,,,[10131080],paperback,"{'type': '/type/datetime', 'value': '2020-06-04T17:18:45.461236'}",1,/books/OL28195207M,[{'key': '/authors/OL6812569A'}],,,,,,,['amazon:0553278029'],,432.0,['9780553278026'],"{'type': '/type/datetime', 'value': '2020-06-04T17:18:45.461236'}",,"Jun 01, 1989",,,[{'key': '/works/OL20826957W'}],{'key': '/type/edition'},1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,A Heartbreaking work of Staggering Genius,,['Vintage Books'],,,"{'type': '/type/text', 'value': 'First Vintage Books Edition. Originally published in hard cover in slightly different form in the United States by Simon & Schuster, New York, 2000'}",[9244102],Paperback,"{'type': '/type/datetime', 'value': '2020-08-22T08:53:57.456914'}",7,/books/OL25613278M,,,"['New York, USA']",,,"xlv, 437",,"['marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:99618088:1250', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:219796847:9182', 'amazon:0375725784', 'marc:marc_loc_2016/BooksAll.2016.part01.utf8:27548745:974']",,484.0,['9780375725784'],"{'type': '/type/datetime', 'value': '2014-08-15T20:16:02.198490'}",,February 2001,"2000, 2001",,[{'key': '/works/OL114661W'}],{'key': '/type/edition'},7,,,,,,,,"['urn:phillips:31867003049777', 'urn:sfpl:31223086738771', 'urn:sfpl:31223113339270', 'urn:sfpl:31223124992786', 'urn:sfpl:31223116664401', 'urn:sfpl:31223116664393', 'urn:sfpl:31223060407252', 'urn:sfpl:31223113339288', 'urn:sfpl:31223102493898', 'urn:sfpl:31223113339254', 'urn:sfpl:31223102493906', 'urn:sfpl:31223116664419', 'urn:sfpl:31223102270049', 'urn:sfpl:31223113339262', 'urn:sfpl:31223115612682', 'urn:sfpl:31223102493880', 'urn:sfpl:31223102493849', 'urn:sfpl:31223098601744', 'urn:sfpl:31223098601751', 'urn:sfpl:31223102270056', 'urn:sfpl:31223113339213', 'urn:sfpl:31223126047290', 'urn:sfpl:31223102493807', 'urn:sfpl:31223116664427', 'urn:sfpl:31223113339221', 'urn:sfpl:31223116664435', 'urn:sfpl:31223124992794', 'urn:sfpl:31223116664443', 'urn:sfpl:31223124992802', 'urn:sfpl:31223102493864', 'urn:sfpl:31223116664450', 'urn:sfpl:31223102493872', 'urn:sfpl:31223089993985', 'urn:sfpl:31223102493799', 'urn:sfpl:31223124992778', 'urn:sfpl:31223116664468', 'urn:sfpl:31223102493856', 'urn:sfpl:31223116664476', 'urn:sfpl:31223113339247']",,,,,,,['00-043832'],"[{'level': 1, 'label': '', 'title': 'Rules and Suggestions for Enjoyment of This Book / vii', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Preface to This Edition / ix', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Acknowledgements / xxi', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Incomplete Guide to Symbols and Metaphors / xxxviii', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part I. / Through the Small Tall Bathroom Window, Etc / 1', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part II. / Please Look. Can You See Us, Etc / 47', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part III. / The Enemies List, Etc / 71', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part IV. / Oh, I Could Be Going Out Sure / 105', 'pagenum': ''}, {'level': 1, 'label': '', 'title': ""Part V. / Outside It's Blue-Black and Getting Darker, Etc / 123"", 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part VI. / When We Hear The News At First / 167', 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part VII. / Fuck It. Stupid Show. Etc / 239', 'pagenum': ''}, {'level': 1, 'label': '', 'title': ""Part VIII. / We Can't Do Anything About The Excrement / 281"", 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part IX. / Robert Urich Says No. We Are So Close / 311', 'pagenum': ''}, {'level': 1, 'label': '', 'title': ""Part X. / Of Course It's Cold / 353"", 'pagenum': ''}, {'level': 1, 'label': '', 'title': 'Part XI./ Black Sand Beach Is/ 407', 'pagenum': ''}]","[{'role': 'Cover Art', 'name': 'Komar and Melamid'}]",,,,,,,,,,,,,,,,,,
15,['0553279912'],A Is for Alibi,,['Crimeline'],"{'librarything': ['10174'], 'goodreads': ['415267']}",,,[369021],Paperback,"{'type': '/type/datetime', 'value': '2021-03-11T09:46:08.423767'}",9,/books/OL7824400M,[{'key': '/authors/OL20687A'}],,,,[{'key': '/languages/eng'}],,,,,224.0,['9780553279917'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"June 1, 1987",,,[{'key': '/works/OL13754384W'}],{'key': '/type/edition'},9,,,,['Kinsey Millhone Alphabet Mystery (1)'],,,,,,,,,"['Mystery/Suspense', 'Mystery & Detective - Hard-Boiled', 'Fiction', 'Fiction - Mystery/ Detective', 'Suspense', 'Mystery & Detective - Series', 'Mystery & Detective - Women Sleuths', 'Fiction / Mystery & Detective / Women Sleuths', 'Mystery & Detective - General']",,,,,4 ounces,6.7 x 4.2 x 0.7 inches,,,,,,,,,,,,,,,,
16,['0375702709'],A Lesson Before Dying,,['Vintage'],"{'librarything': ['17722'], 'goodreads': ['5197']}",,,[8261242],,"{'type': '/type/datetime', 'value': '2018-10-23T19:38:47.502224'}",12,/books/OL7426220M,[{'key': '/authors/OL361442A'}],lessonbeforedyin00gain_0,,,[{'key': '/languages/eng'}],,{},['ia:lessonbeforedyin00gain_0'],,272.0,['9780375702709'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"September 28, 1997",,,[{'key': '/works/OL2547242W'}],{'key': '/type/edition'},12,['IA176301'],,,"[""Oprah's Book Club (9)""]","{'type': '/type/text', 'value': 'I WAS NOT THERE, yet I was there.'}",,,,,,,,,,,,,,,,,,,['lessonbeforedyin00gain_0'],,,,,,,,,,,
17,['0452281903'],A Man Named Dave,,['Plume'],"{'goodreads': ['73864'], 'librarything': ['72069']}",A Story of Triumph and Forgiveness,,[297123],,"{'type': '/type/datetime', 'value': '2010-08-06T02:34:26.777485'}",6,/books/OL7590897M,[{'key': '/authors/OL2623454A'}],,,,[{'key': '/languages/eng'}],,,['amazon:0452281903:bn:621201839:258341'],,352.0,['9780452281905'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"September 5, 2000",,,[{'key': '/works/OL262977W'}],{'key': '/type/edition'},6,,,,,"{'type': '/type/text', 'value': ""I'm scared. My feet are cold and my stomach cries for food.""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,['0553580930'],A man in full,A man in full a novel,['Bantam Books'],,a novel,,[8278718],,"{'type': '/type/datetime', 'value': '2021-01-17T11:23:32.812938'}",8,/books/OL24954261M,[{'key': '/authors/OL4359988A'}],maninfullnovel1998wolf,['New York [etc.]'],,[{'key': '/languages/eng'}],787 str. ;,,['ia:maninfullnovel1998wolf'],,787.0,['9780553580938'],"{'type': '/type/datetime', 'value': '2011-08-11T06:38:13.145238'}",Bantam mass market ed.,1999,,['439466516'],[{'key': '/works/OL1925466W'}],{'key': '/type/edition'},8,['IA112304'],nyu,Tom Wolfe,,,,,,,,,,,,,,,,,,,,,['maninfullnovel1998wolf'],,,,,,,,,,,
19,['0385720106'],A Map of the World,,['Anchor'],"{'librarything': ['4035'], 'goodreads': ['5205']}",,,[243758],,"{'type': '/type/datetime', 'value': '2021-04-22T14:28:04.084067'}",9,/books/OL7441818M,[{'key': '/authors/OL2678121A'}],mapofworldoprah00jane,,,[{'key': '/languages/eng'}],,{},,"{'type': '/type/text', 'value': ""Oprah's Book Club""}",352.0,['9780385720106'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"December 3, 1999",,,[{'key': '/works/OL2705557W'}],{'key': '/type/edition'},9,,,,"[""Oprah's Book Club (29)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,['044023722X'],A Painted House,,['Dell'],"{'librarything': ['861174'], 'goodreads': ['227528']}",,,[9323521],,"{'type': '/type/datetime', 'value': '2020-04-07T14:07:21.456874'}",12,/books/OL7520189M,[{'key': '/authors/OL6829207A'}],paintedhous00gris,,,[{'key': '/languages/eng'}],,,"['amazon:044023722X:bk:1097287250:264062', 'ia:paintedhous00gris']",,480.0,['9780440237228'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"December 26, 2001",,,[{'key': '/works/OL76991W'}],{'key': '/type/edition'},12,,,,,"{'type': '/type/text', 'value': 'The hill people and the Mexicans arrived on the same day.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,['080411918X'],A Patchwork Planet,,['Ballantine Books'],"{'librarything': ['2554468'], 'goodreads': ['40020']}",,,[576967],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2011-07-14T14:10:30.669500'}",7,/books/OL7910687M,[{'key': '/authors/OL4435045A'}],,,,[{'key': '/languages/eng'}],,,['amazon:080411918X:dd:4119661322:280932'],,320.0,['9780804119184'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"May 1, 2001",,,[{'key': '/works/OL28291W'}],{'key': '/type/edition'},7,,,,,"{'type': '/type/text', 'value': 'I AM A MAN you can trust, is how my customers view me.'}",,,,,,,,"['Fiction - General', 'Fiction', 'General', 'Fiction / General']",,,,,4.8 ounces,6.7 x 4 x 1 inches,,,,,,,,,,,,,,,,
22,['0345361792'],A Prayer for Owen Meany,,['Ballantine Books'],"{'paperback_swap': ['0345361792'], 'amazon': ['0345361792'], 'librarything': ['7263'], 'goodreads': ['43682750']}",A Novel,"Owen Meany, the only child of a New Hampshire granite quarrier, believes he is God's instrument; he is.

This is John Irving's most comic novel; yet Owen Meany is Mr. Irving's most heartbreaking character.
(back cover)",[7077443],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2020-08-27T16:20:03.446345'}",12,/books/OL22354629M,[{'key': '/authors/OL2675188A'}],prayerforowenmea00irvi,"['New York, USA']",,[{'key': '/languages/eng'}],617 p. ;,{},"['ia:prayerforowenmea00irvi', 'bwb:9780345361790']",,617.0,['9780345361790'],"{'type': '/type/datetime', 'value': '2008-11-11T11:44:57.119373'}",1st mass market ed.,1990 05,1989,['844867445'],[{'key': '/works/OL14858723W'}],{'key': '/type/edition'},12,['IA104516'],nyu,John Irving.,,,['813/.54'],['PS3559.R8 P7 1990'],,,,,,['Friendship -- Fiction.'],,['88013839'],,,,,,,,,,,,,,,,,,,,
23,['0553571885'],A Thin Dark Line (Mysteries & Horror),,['Bantam'],"{'goodreads': ['87965'], 'librarything': ['32124']}",,,[372356],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2010-08-06T07:10:13.404262'}",6,/books/OL7829694M,[{'key': '/authors/OL21979A'}],,,,[{'key': '/languages/eng'}],,,,,608.0,['9780553571882'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"April 1, 1998",,,[{'key': '/works/OL14919202W'}],{'key': '/type/edition'},6,,,,,,,,,,,,,"['Modern fiction', 'Thrillers', 'Fiction - Psychological Suspense', 'Fiction', 'Suspense', 'Fiction / Suspense']",,,,,10.4 ounces,7 x 4.3 x 1.4 inches,,,,,,,,,,,,,,,,
